RespondentID,Engage,Develop,Teamwork & Trust,Sustainable Engagement
317,19,9,10,12
318,20,14,10,14
319,30,17,15,23
320,15,8,12,12
321,24,14,16,20
322,21,14,15,22
323,34,16,13,20
324,21,11,12,19
325,37,22,21,26
326,16,9,8,9
327,16,8,9,10
328,14,6,5,11
329,23,9,9,19
330,17,8,9,15
331,16,7,5,10
332,23,10,14,22
333,23,10,8,15
334,29,13,11,21
335,28,17,16,19
336,21,13,10,8
337,22,12,4,13
338,20,7,9,9
339,28,19,17,20
340,22,16,13,17
341,30,17,14,19
342,28,12,7,21
343,18,11,5,14
344,26,16,15,17
345,22,10,9,10
346,16,8,7,14
347,13,7,5,8
348,17,7,7,10
349,16,7,7,10
350,14,10,7,10
351,22,12,12,20
352,13,7,6,10
353,22,13,7,14
354,25,14,8,11
355,13,6,5,10
356,21,9,10,12
357,14,10,6,8
358,21,10,9,12
359,21,10,6,9
360,33,18,10,12
361,12,6,5,8
362,10,7,4,6
363,26,17,14,16
364,20,21,10,15
365,9,5,5,12
366,17,8,5,10
367,18,8,7,13
368,16,11,5,8
369,16,7,7,12
370,16,9,7,12
371,23,14,9,12
372,23,18,10,17
373,15,7,8,12
374,31,23,15,21
375,29,13,12,15
376,24,12,12,17
377,14,4,2,6
378,17,7,7,11
379,23,4,7,11
380,18,7,10,17
381,25,18,14,18
382,10,6,5,9
383,22,12,10,15
384,24,13,10,19
385,26,14,5,9
386,20,10,15,20
387,37,24,22,28
388,17,9,5,11
389,26,14,8,15
390,22,12,6,9
391,29,19,12,17
392,10,6,5,8
393,13,6,5,12
394,22,14,8,17
395,24,12,10,14
396,27,20,16,20
397,16,11,9,13
398,16,9,6,9
399,29,23,19,24
400,32,17,11,17
401,37,26,15,25
402,42,27,22,28
403,31,15,12,14
404,12,11,7,10
405,21,8,6,13
406,20,12,10,15
407,17,11,9,11
408,23,12,10,16
409,13,7,6,11
410,25,10,10,14
411,15,6,6,8
412,18,13,6,15
413,17,11,7,10
414,17,20,9,12
415,47,25,19,22
416,28,21,19,23
417,25,14,9,14
418,10,6,5,8
419,31,15,11,22
420,20,9,6,9
421,21,13,8,12
422,34,20,13,28
423,11,2,5,6
424,11,7,5,10
425,29,17,11,17
426,17,10,8,11
427,15,9,7,9
428,25,15,9,17
429,21,12,10,14
430,18,9,6,11
431,16,8,8,11
432,32,24,18,18
433,22,15,9,8
434,24,0,6,13
435,30,19,13,23
436,21,13,7,11
437,18,12,7,15
438,17,11,6,14
439,23,14,12,15
440,26,16,10,18
441,28,16,14,18
442,25,17,10,18
443,19,10,5,14
444,16,5,5,8
445,33,18,14,10
446,22,17,8,13
447,11,4,4,9
448,22,10,8,13
449,10,6,5,8
450,20,9,7,9
451,24,8,8,13
452,17,10,6,11
453,24,15,5,16
454,16,9,7,10
455,23,17,10,15
456,15,8,8,15
457,14,6,5,10
458,23,8,9,13
459,19,9,6,14
460,19,13,10,16
461,43,24,13,27
462,13,8,9,12
463,17,9,11,14
464,18,13,7,14
465,28,17,3,15
466,18,8,9,12
467,12,7,8,11
468,13,7,6,12
469,26,12,10,17
470,30,12,18,23
471,17,8,5,10
472,27,17,13,12
473,15,5,5,10
474,10,6,5,12
475,10,8,6,8
476,25,15,6,11
477,13,8,5,8
478,22,11,10,12
479,14,9,5,9
480,18,8,4,8
481,27,14,10,15
482,22,12,10,18
483,12,6,5,9
484,11,2,4,5
485,28,15,11,18
486,24,11,10,15
487,28,18,9,18
488,8,2,4,5
489,24,13,5,15
490,15,6,5,8
491,29,14,9,15
492,15,13,8,13
493,31,14,9,16
494,11,7,5,10
495,26,22,10,12
496,18,7,8,11
497,15,8,5,9
498,20,10,10,15
499,20,8,9,12
500,10,7,5,9
501,28,16,14,21
502,14,8,9,16
503,32,17,9,17
504,18,11,10,15
505,12,6,5,8
506,17,9,6,13
507,29,14,12,21
508,33,22,11,19
509,11,7,5,9
510,23,10,11,10
511,14,8,5,8
512,29,20,16,18
513,20,9,8,11
514,22,14,8,13
515,16,7,5,9
516,11,9,6,10
517,16,11,7,13
518,39,22,15,20
519,29,13,11,23
520,10,6,6,9
521,33,19,11,22
522,37,24,23,24
523,31,22,11,15
524,18,7,5,10
525,10,6,5,8
526,24,15,13,15
527,41,27,9,12
528,24,17,9,13
529,15,8,5,9
530,18,13,6,8
