Team,IsHome,Opponent,Result,IsOT,TeamScore,OpponentScore,ResultDifferential,Year,Month,Season,Rest,2PPctAllowed,3PPctAllowed,PTSAllowed,ORBAllowed,DRBAllowed,TRBAllowed,STLAllowed,BLKAllowed,TOVForced,PFForced,PossAllowed,2PPct,3PPct,FTPct,PTS,ORB,DRB,TRB,STL,BLK,TOV,PF,Poss,DefRating,OffRating,oppmRest,2PPctAllowed_Opp,3PPctAllowed_Opp,PTSAllowed_Opp,ORBAllowed_Opp,DRBAllowed_Opp,TRBAllowed_Opp,STLAllowed_Opp,BLKAllowed_Opp,TOVForced_Opp,PFForced_Opp,PossAllowed_Opp,2PPct_Opp,3PPct_Opp,FTPct_Opp,PTS_Opp,ORB_Opp,DRB_Opp,TRB_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,Poss_Opp,DefRating_Opp,OffRating_Opp
IND,0,DET,1,0,94,81,13,2005,3,2004,2,0.458641405,0.361079865,93.04411765,12.04411765,29.22058824,41.26470588,6.588235294,5.029411765,13.44117647,23.19117647,88.23235294,0.469361147,0.338083927,0.786804798,93,10.47058824,29.13235294,39.60294118,7.602941176,4.632352941,13.54411765,23.32352941,84.70808824,105.4535151,109.7888076,2,0.45366751,0.344895937,89.75,10.95588235,28.51470588,39.47058824,7.382352941,4.602941176,13.33823529,22.69117647,86.74301471,0.45687118,0.344134078,0.743175487,92.55882353,12.85294118,30.32352941,43.17647059,7.117647059,6.117647059,13.16176471,20.04411765,90.34742647,103.4665446,102.4476592
LAC,0,BOS,1,0,119,106,13,2015,3,2014,2,0.470185058,0.333873582,101.32,10.6,33.68,44.28,7.12,3.32,13.6,21.72,93.454,0.523608175,0.367816092,0.642628205,106.2,10,34.12,44.12,8,5,12.56,23.04,93.896,108.4169752,113.1038596,2,0.495675316,0.318815331,99.24,10.68,35.56,46.24,7,4.96,14.88,20.12,90.489,0.466101695,0.324005891,0.745421245,99.88,12.04,33.4,45.44,7.88,3.08,12.24,21.64,98.694,109.6707887,101.2016941
NYK,0,WAS,1,0,99,86,13,2004,3,2003,2,0.447836538,0.334031414,93.140625,11.5625,29.84375,41.40625,8.421875,4.1875,13,19.109375,90.834375,0.461706253,0.368817204,0.800936768,91.640625,11.046875,31.390625,42.4375,7.109375,4.890625,15.65625,22.765625,83.89804687,102.5389617,109.2285559,2,0.474981513,0.349503859,95.75409836,12.67213115,30.7704918,43.44262295,9.409836066,5.721311475,15.91803279,21.27868852,88.64344262,0.440020035,0.340883352,0.716740929,90.86885246,13.44262295,29.16393443,42.60655738,9.344262295,4.983606557,16.50819672,20.52459016,89.10204918,108.0216376,101.9828986
DAL,0,DEN,1,0,108,96,12,2003,3,2002,2,0.460404751,0.335784314,94.18309859,12.66197183,32.56338028,45.22535211,6.478873239,3.943661972,15.43661972,21.29577465,90.04014085,0.475406284,0.379501385,0.825417202,103.0704225,11.36619718,31.12676056,42.49295775,8.112676056,5.704225352,10.85915493,20.83098592,96.26830986,104.6012342,107.0657859,2,0.458799361,0.37044335,91.98630137,10.43835616,29.56164384,40,9.054794521,6.575342466,16.52054795,22,81.27226027,0.433102081,0.274590164,0.692913386,83.79452055,13.06849315,28.7260274,41.79452055,8.849315068,5.136986301,17.57534247,25.20547945,85.37294521,113.1829004,98.15114185
OKC,0,ATL,1,0,111,104,7,2011,3,2010,2,0.488406881,0.364933741,102.0166667,11.08333333,29.53333333,40.61666667,7.066666667,4.233333333,13.38333333,22.08333333,93.0125,0.489827856,0.341658342,0.828220859,104.45,10.9,31.5,42.4,7.783333333,5.5,13.36666667,22.25,92.31125,109.6805985,113.1498057,2,0.487238387,0.33110687,95.33870968,10.41935484,30.27419355,40.69354839,6.709677419,4.370967742,12.16129032,18.83870968,88.72056452,0.493895966,0.348857645,0.785607196,96.14516129,9.741935484,30.5483871,40.29032258,6.14516129,4.14516129,12.93548387,19.20967742,86.15564516,107.4595391,111.594732
SAC,0,NJN,1,0,109,84,25,2006,3,2005,1,0.481513514,0.343309859,97.87142857,11.65714286,30.52857143,42.18571429,8,4.842857143,14.01428571,23,91.06464286,0.486766398,0.348662207,0.785752544,99.25714286,10.11428571,30.21428571,40.32857143,7.3,3.585714286,14,20.52857143,87.94035714,107.4746746,112.8687057,2,0.471092077,0.357142857,94.05633803,9.549295775,31.64788732,41.1971831,7.070422535,4.126760563,13.81690141,23.28169014,84.68274648,0.473075106,0.324779471,0.75466805,94.02816901,10.11267606,30.5915493,40.70422535,6.901408451,3.23943662,12.95774648,23.70422535,87.25070423,111.0690689,107.7678053
MIA,0,MIL,1,0,107,94,13,2013,3,2012,2,0.473041169,0.355253753,95.859375,11,29.046875,40.046875,7.734375,3.21875,14.734375,20.46875,87.27695313,0.534997287,0.385362211,0.764465623,103.359375,8.46875,30.1875,38.65625,8.796875,5.078125,12.953125,19.140625,84.93398438,109.8335489,121.6937787,2,0.477913534,0.348976109,100.09375,12.71875,33.3125,46.03125,8.0625,4.34375,15.359375,19.625,93.03007813,0.461201934,0.356614626,0.739477504,98.859375,12.609375,31.015625,43.625,8.40625,7.140625,13.796875,19.390625,95.91484375,107.5928904,103.0699432
BOS,0,PHI,0,0,71,103,-32,2012,3,2011,1,0.444206583,0.303245436,88.66101695,11.81355932,31.27118644,43.08474576,7.711864407,4.745762712,14.25423729,18.33898305,88.38220339,0.481299481,0.368301026,0.769557823,91.52542373,7.796610169,31.71186441,39.50847458,7.305084746,5.491525424,14.06779661,19.89830508,80.14576271,100.3154635,114.1987057,2,0.449117342,0.333333333,89.18333333,10.66666667,33.33333333,44,5.8,4.616666667,13.33333333,16.51666667,87.44916667,0.463585773,0.360986547,0.742935278,93.55,10.68333333,32.48333333,43.16666667,7.916666667,5.15,10.58333333,17.36666667,92.53458333,101.9830568,101.0973375
HOU,0,SEA,0,0,90,93,-3,2001,3,2000,2,0.466694249,0.35706085,94.94285714,11.8,29.62857143,41.42857143,7.242857143,4.971428571,13.17142857,21.62857143,91.12821429,0.478140819,0.357621441,0.764772727,96.9,11.17142857,30.52857143,41.7,7.271428571,4.471428571,14.1,20.61428571,88.15714286,104.1860173,109.9173554,2,0.477234754,0.353288364,97.81944444,12.97222222,29.80555556,42.77777778,7.958333333,6.236111111,14.33333333,22.58333333,92.46354167,0.465111435,0.38996139,0.73522854,97.18055556,12.5,29.625,42.125,8.041666667,4.958333333,14.88888889,21.36111111,90.51597222,105.7924482,107.362881
MIN,0,UTA,0,0,76,105,-29,2008,3,2007,1,0.50513461,0.343297101,101.0666667,10.56666667,31.23333333,41.8,7.983333333,5.916666667,13.33333333,17.65,88.88833333,0.465538691,0.338574423,0.721044046,93.25,12.08333333,29.48333333,41.56666667,7.6,3.65,14.66666667,23.53333333,90.00583333,113.7007106,103.604396,2,0.487520347,0.354395604,99.62903226,10.62903226,27.82258065,38.4516129,7.870967742,5.387096774,15.82258065,23.40322581,86.44274194,0.518360578,0.359637775,0.756097561,105.5322581,11.41935484,29.43548387,40.85483871,8.983870968,4.338709677,14.70967742,24.4516129,90.76491935,115.2543638,116.2698748
